=============================================
 Remaining experiments (with NCCL fix)
 Started: Sun Mar  8 21:50:51 UTC 2026
=============================================

=============================================
 [full_raw_moe] Starting training
 Config: configs/full_raw_moe.yaml
 Sun Mar  8 21:50:52 UTC 2026
=============================================
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] 
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] *****************************************
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0308 21:50:53.147000 4134707 site-packages/torch/distributed/run.py:803] *****************************************

============================================================
 Experiment: full_raw_moe
 Config:     configs/full_raw_moe.yaml
 Parallelism: FSDP2 + compile
 MoE: 8 experts, top-2
============================================================

Loading existing tokenizer from tokenizer_16k
/opt/conda/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:4876: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  warnings.warn(  # warn only once
[rank0]:[W308 21:51:01.536728210 ProcessGroupNCCL.cpp:5068] Guessing device ID based on global rank. This can cause a hang if rank to GPU mapping is heterogeneous. You can specify device_id in init_process_group()
Tokenizer: vocab=16384, eos_id=1, pad_id=0
Using streaming data loader (sharded dataset)
Estimated tokens: ~57,500,000,000
Steps/epoch: ~219,345, Total steps: ~219,345
Warmup: 2,193 steps
Tok/step: 262,016
Initializing model ...
Parameters: 1,409,471,232 total, 390,255,360 active/token (12,582,912 embed + 1,396,888,320 non-embed)
Applying FSDP2 (fully_shard) ...
Compiling model with torch.compile ...
W&B init failed (No API key configured. Use `wandb login` to log in.), continuing without logging
  step  10000/219345 | loss 2.8884 | ppl 17.97 | lr 2.99e-04 | 289207 tok/s | MFU 8.6%
  Saved checkpoint -> runs/full_raw_moe/latest.pt
  step  10100/219345 | loss 3.3039 | ppl 27.22 | lr 2.99e-04 | 288514 tok/s | MFU 8.5%
  step  10200/219345 | loss 3.0398 | ppl 20.90 | lr 2.99e-04 | 288719 tok/s | MFU 8.5%
  step  10300/219345 | loss 3.0727 | ppl 21.60 | lr 2.99e-04 | 288788 tok/s | MFU 8.5%
  step  10400/219345 | loss 3.2168 | ppl 24.95 | lr 2.99e-04 | 288953 tok/s | MFU 8.6%
  step  10500/219345 | loss 2.3422 | ppl 10.40 | lr 2.99e-04 | 289105 tok/s | MFU 8.6%
  step  10600/219345 | loss 2.8248 | ppl 16.86 | lr 2.99e-04 | 289155 tok/s | MFU 8.6%
  step  10700/219345 | loss 3.2878 | ppl 26.78 | lr 2.99e-04 | 289198 tok/s | MFU 8.6%
  step  10800/219345 | loss 3.2024 | ppl 24.59 | lr 2.99e-04 | 289393 tok/s | MFU 8.6%
  step  10900/219345 | loss 2.2894 | ppl 9.87 | lr 2.99e-04 | 289419 tok/s | MFU 8.6%
  step  11000/219345 | loss 3.1175 | ppl 22.59 | lr 2.99e-04 | 289516 tok/s | MFU 8.6%
  step  11100/219345 | loss 3.2290 | ppl 25.25 | lr 2.99e-04 | 289755 tok/s | MFU 8.6%
  step  11200/219345 | loss 3.2339 | ppl 25.38 | lr 2.99e-04 | 289788 tok/s | MFU 8.6%
  step  11300/219345 | loss 2.9859 | ppl 19.81 | lr 2.99e-04 | 289866 tok/s | MFU 8.6%
  step  11400/219345 | loss 3.2064 | ppl 24.69 | lr 2.99e-04 | 290050 tok/s | MFU 8.6%
  step  11500/219345 | loss 3.0587 | ppl 21.30 | lr 2.99e-04 | 290171 tok/s | MFU 8.6%
  step  11600/219345 | loss 3.1638 | ppl 23.66 | lr 2.99e-04 | 290237 tok/s | MFU 8.6%
  step  11700/219345 | loss 2.9859 | ppl 19.80 | lr 2.99e-04 | 290336 tok/s | MFU 8.6%
  step  11800/219345 | loss 2.8389 | ppl 17.10 | lr 2.99e-04 | 290587 tok/s | MFU 8.6%
  step  11900/219345 | loss 1.9222 | ppl 6.84 | lr 2.99e-04 | 290509 tok/s | MFU 8.6%
  step  12000/219345 | loss 3.0554 | ppl 21.23 | lr 2.98e-04 | 290544 tok/s | MFU 8.6%
  step  12100/219345 | loss 3.2933 | ppl 26.93 | lr 2.98e-04 | 290734 tok/s | MFU 8.6%
  step  12200/219345 | loss 3.2806 | ppl 26.59 | lr 2.98e-04 | 290835 tok/s | MFU 8.6%
  step  12300/219345 | loss 2.7294 | ppl 15.32 | lr 2.98e-04 | 290882 tok/s | MFU 8.6%
  step  12400/219345 | loss 3.3178 | ppl 27.60 | lr 2.98e-04 | 290938 tok/s | MFU 8.6%
  step  12500/219345 | loss 3.3007 | ppl 27.13 | lr 2.98e-04 | 291155 tok/s | MFU 8.6%
  step  12600/219345 | loss 3.3294 | ppl 27.92 | lr 2.98e-04 | 291112 tok/s | MFU 8.6%
  step  12700/219345 | loss 3.1004 | ppl 22.21 | lr 2.98e-04 | 291164 tok/s | MFU 8.6%
  step  12800/219345 | loss 2.8859 | ppl 17.92 | lr 2.98e-04 | 291318 tok/s | MFU 8.6%
  step  12900/219345 | loss 2.9117 | ppl 18.39 | lr 2.98e-04 | 291461 tok/s | MFU 8.6%
  step  13000/219345 | loss 3.0331 | ppl 20.76 | lr 2.98e-04 | 291426 tok/s | MFU 8.6%
  step  13100/219345 | loss 3.1401 | ppl 23.11 | lr 2.98e-04 | 291450 tok/s | MFU 8.6%
  step  13200/219345 | loss 2.9805 | ppl 19.70 | lr 2.98e-04 | 291666 tok/s | MFU 8.6%
  step  13300/219345 | loss 3.1757 | ppl 23.94 | lr 2.98e-04 | 291780 tok/s | MFU 8.6%
  step  13400/219345 | loss 3.2367 | ppl 25.45 | lr 2.98e-04 | 291735 tok/s | MFU 8.6%
  step  13500/219345 | loss 3.3946 | ppl 29.80 | lr 2.98e-04 | 291744 tok/s | MFU 8.6%
  step  13600/219345 | loss 3.0620 | ppl 21.37 | lr 2.98e-04 | 291940 tok/s | MFU 8.6%
  step  13700/219345 | loss 3.6552 | ppl 38.67 | lr 2.98e-04 | 292094 tok/s | MFU 8.6%
  step  13800/219345 | loss 3.0532 | ppl 21.18 | lr 2.98e-04 | 292042 tok/s | MFU 8.6%
  step  13900/219345 | loss 3.2593 | ppl 26.03 | lr 2.98e-04 | 292047 tok/s | MFU 8.6%
  step  14000/219345 | loss 2.9868 | ppl 19.82 | lr 2.98e-04 | 292255 tok/s | MFU 8.6%
